plant_id,full_name,botanist_wiki,botanist_last_name
1,Taquet,,taquet
1,Philipp Franz von Siebold,http://en.wikipedia.org/wiki/Philipp_Franz_von_Siebold,siebold
1,Karl (Carl) Theodor Ernst von Siebold,http://en.wikipedia.org/wiki/Karl_Theodor_Ernst_von_Siebold,siebold
2,Armand David,http://en.wikipedia.org/wiki/Armand_David,david
3,E. F. Warburg,http://en.wikipedia.org/wiki/E._F._Warburg,warburg
3,Edmund Frederic Warburg,http://en.wikipedia.org/wiki/Edmund_Frederic_Warburg,warburg
3,Otto Warburg,http://en.wikipedia.org/wiki/Otto_Warburg_(botanist),warburg
4,Dalzell,,dalzell
4,Robert Brown,http://en.wikipedia.org/wiki/Robert_Brown_(Scottish_botanist_from_Montrose),brown
4,Clair Alan Brown,http://en.wikipedia.org/wiki/Clair_Alan_Brown,brown
4,Nicholas Edward Brown,http://en.wikipedia.org/wiki/Nicholas_Edward_Brown,brown
4,Addison Brown,http://en.wikipedia.org/wiki/Addison_Brown,brown
4,Andrew Phillip Brown,http://en.wikipedia.org/wiki/Andrew_Phillip_Brown,brown
4,William Brown,http://en.wikipedia.org/wiki/William_Brown_(plant_pathologist),brown
4,Esquirol,,esquirol
4,Campenon,,campenon
5,Robert Brown,http://en.wikipedia.org/wiki/Robert_Brown_(Scottish_botanist_from_Montrose),brown
5,Clair Alan Brown,http://en.wikipedia.org/wiki/Clair_Alan_Brown,brown
5,Nicholas Edward Brown,http://en.wikipedia.org/wiki/Nicholas_Edward_Brown,brown
5,Addison Brown,http://en.wikipedia.org/wiki/Addison_Brown,brown
5,Andrew Phillip Brown,http://en.wikipedia.org/wiki/Andrew_Phillip_Brown,brown
5,William Brown,http://en.wikipedia.org/wiki/William_Brown_(plant_pathologist),brown
6,George Charles Wallich,http://en.wikipedia.org/wiki/George_Charles_Wallich,wallich
6,Nathaniel Wallich,http://en.wikipedia.org/wiki/Nathaniel_Wallich,wallich
6,Victor Jacquemont,http://en.wikipedia.org/wiki/Victor_Jacquemont,jacquemont
7,Colin James Webb,http://en.wikipedia.org/w/index.php?title=Colin_James_Webb&action=edit&redlink=1,webb
7,Philip Barker Webb,http://en.wikipedia.org/wiki/Philip_Barker_Webb,webb
8,Hendrik Anton Lorentz,http://en.wikipedia.org/wiki/Hendrik_Lorentz,lorentz
9,Martin Vahl,http://en.wikipedia.org/wiki/Martin_Vahl,vahl
10,William Griffith,http://en.wikipedia.org/wiki/William_Griffith_(botanist),griffith
11,William Roxburgh,http://en.wikipedia.org/wiki/William_Roxburgh,roxburgh
12,Ohw,,ohw
12,Riedel,,riedel
