plant_id,scientific_name,synonym,botanist_last_name
1,Ficus erecta,Ficus taquetii,taquet
1,Ficus erecta,Ficus sieboldii,siebold
2,Hemiptelea davidii,Hemiptelea davidii,david
2,Hemiptelea davidii,Planera davidii,david
2,Hemiptelea davidii,Abelicea davidii,david
3,Acalypha amentacea,Acalypha warburgii,warburg
4,Carissa spinarum,Carissa dalzellii,dalzell
4,Carissa spinarum,Carissa brownii,brown
4,Carissa spinarum,Damnacanthus esquirolii,esquirol
4,Carissa spinarum,Arduina campenonii,campenon
5,Solanum hasslerianum,Solanum brownii,brown
6,Chrysojasminum humile,Jasminum wallichii,wallich
6,Chrysojasminum humile,Jasminum jacquemontii,jacquemont
7,Juniperus cedrus,Juniperus webbii,webb
8,Alternanthera pungens,Achyranthes lorentzii,lorentz
8,Alternanthera pungens,Alternanthera lorentzii,lorentz
9,Triumfetta rhomboidea,Triumfetta vahlii,vahl
10,Cephalotaxus oliveri,Cephalotaxus griffithii,griffith
11,Piper longum,Piper roxburghii,roxburgh
11,Piper longum,Chavica roxburghii,roxburgh
12,Najas marina,Najas marina var. ohwii,ohw
12,Najas marina,Najas marina var. riedelii,riedel
12,Najas marina,Najas marina subsp. ehrenbergii,ehrenberg
13,Plantago lanceolata,Plantago preslii,presl
13,Plantago lanceolata,Plantago schottii,schott
13,Plantago lanceolata,Plantago linkii,link
14,Solanum album,Solanum gaudichaudii,gaudichaud
14,Solanum album,Solanum cavanillesii,cavanilles
14,Solanum album,Solanum jacquinii,jacquin
14,Solanum album,Solanum macannii,macann
14,Solanum album,Solanum cumingii,cuming
14,Solanum album,Solanum melongena subsp. cumingii,cuming
14,Solanum album,Solanum requienii,requien
14,Solanum album,Solanum junghuhnii,junghuhn
14,Solanum album,Solanum vincentii,vincent
14,Solanum album,Solanum nelsonii,nelson
14,Solanum album,Solanum heynii,heyn
14,Solanum album,Solanum kurzii,kurz
15,Ophrys tenthredinifera,Ophrys tenthredinifera subsp. guimaraesii,guimaraes
15,Ophrys tenthredinifera,Ophrys tenthredinifera var. guimaraesii,guimaraes
15,Ophrys tenthredinifera,Ophrys tenthredinifera f. choffatii,choffat
15,Ophrys tenthredinifera,Ophrys normanii,norman
16,Iris pseudacorus,Iris bastardii,bastard
17,Sclerophylax kurtzii,Sclerophylax kurtzii,kurtz
18,Trimezia martinicensis,Xanthocromyon herbertii,herbert
19,Tritonia gladiolaris,Tritonia krausii,kraus
20,Sisyrinchium angustifolium,Sisyrinchium nuttallii,nuttall
21,Moraea setifolia,Moraea rogersii,rogers
21,Moraea setifolia,Helixyra rogersii,rogers
