scientific_name,author,year,bibliography,image_url,family,genus,plant_wiki,plant_id
Ficus erecta,Thunb.,1786.0,Ficus: 9 (1786),https://bs.plantnet.org/image/o/48f1eaa310e289a4b25116b06f846fd84a782414,Moraceae,Ficus,https://en.wikipedia.org/wiki/Ficus,1
Hemiptelea davidii,(Hance) Planch.,1872.0,Comp. Rend. Hebd. Séances Acad. Sci. 74: 131 (1872),https://bs.plantnet.org/image/o/b088dfae42298ec8b3e9b11b65a67b10425b4661,Ulmaceae,Hemiptelea,https://en.wikipedia.org/wiki/Hemiptelea,2
Acalypha amentacea,Roxb.,1832.0,"Fl. Ind. ed. 1832, 3: 676 (1832)",https://bs.floristic.org/image/o/2df8cb37afb38456d47195da6bd6aaba8be09ab9,Euphorbiaceae,Acalypha,https://en.wikipedia.org/wiki/Acalypha,3
Carissa spinarum,L.,1771.0,Mant. Pl. 2: 559 (1771),https://bs.plantnet.org/image/o/d63cc3705111e9b6a46ff233524c3bacb9fa4cca,Apocynaceae,Carissa,https://en.wikipedia.org/wiki/Carissa_spinarum,4
Solanum hasslerianum,Chodat,1902.0,"Bull. Herb. Boissier, ser. 2, 2: 747 (1902)",https://d2seqvvyy3b8p2.cloudfront.net/e18498569f432d3a8f1c6a5a18318792.jpg,Solanaceae,Solanum,https://en.wikipedia.org/wiki/List_of_Solanum_species,5
Chrysojasminum humile,Banfi (L.),2014.0,Atti Soc. Ital. Sci. Nat. Mus. Civico Storia Nat. Milano 1(1): 5 (2014),https://bs.plantnet.org/image/o/f01007c6bf37f8c1e081609c99b3aa899ffa44bd,Oleaceae,Chrysojasminum,https://en.wikipedia.org/wiki/Chrysojasminum,6
Juniperus cedrus,Webb & Berthel.,1847.0,Hist. Nat. Iles Canaries 3(2; 3): 277 (1847),https://bs.plantnet.org/image/o/180bd469b63885e568a4dba95061d7bbda50fcb0,Cupressaceae,Juniperus,https://en.wikipedia.org/wiki/Juniperus_cedrus,7
Alternanthera pungens,Kunth,1818.0,"F.W.H.von Humboldt, A.J.A.Bonpland & C.S.Kunth, Nov. Gen. Sp. 2: 206 (1818)",https://bs.plantnet.org/image/o/37acb03f74dc3b72cd46caee57416fb6d0777528,Amaranthaceae,Alternanthera,https://en.wikipedia.org/wiki/Alternanthera_pungens,8
Triumfetta rhomboidea,Jacq.,1760.0,Enum. Syst. Pl.: 22 (1760),https://bs.plantnet.org/image/o/880e31a7de826283d18efed66597197783859495,Malvaceae,Triumfetta,https://en.wikipedia.org/wiki/Triumfetta_rhomboidea,9
Cephalotaxus oliveri,Mast.,1898.0,Bull. Herb. Boissier 6: 270 (1898),https://d2seqvvyy3b8p2.cloudfront.net/feac05d44d18d88fb74712aa84432001.jpg,Taxaceae,Cephalotaxus,https://en.wikipedia.org/wiki/Cephalotaxus_oliveri,10
Piper longum,L.,1753.0,Sp. pl. 1:29.  1753,https://bs.plantnet.org/image/o/fba91bbc0d7516b648d57d68a5497f972c7d3090,Piperaceae,Piper,https://en.wikipedia.org/wiki/Long_pepper,11
Najas marina,L.,1753.0,Sp. Pl.: 1015 (1753),https://bs.plantnet.org/image/o/c771ab45fc652fcf4d3f5baadb8e9902b837d1f1,Hydrocharitaceae,Najas,https://en.wikipedia.org/wiki/Najas_marina,12
Plantago lanceolata,L.,1753.0,Sp. Pl.: 113 (1753),https://bs.plantnet.org/image/o/78a8374f009e6ed2dc71ca17d18e4271ea0a2a7b,Plantaginaceae,Plantago,https://en.wikipedia.org/wiki/Plantago_lanceolata,13
Solanum album,L.,1753.0,Sp. Pl.: 187 (1753),https://bs.plantnet.org/image/o/996554891c9369f25e23cffa1755e64d473ef5f2,Solanaceae,Solanum,https://en.wikipedia.org/wiki/Eggplant,14
Ophrys tenthredinifera,Willd.,1805.0,"Sp. Pl., ed. 4, 4: 67 (1805)",https://bs.plantnet.org/image/o/47cadb744002fe9f47a2e4983489d6ddf2889fb4,Orchidaceae,Ophrys,https://en.wikipedia.org/wiki/Ophrys_tenthredinifera,15
Iris pseudacorus,L.,1753.0,Sp. Pl.: 38 (1753),https://bs.plantnet.org/image/o/5de9ad057e5a24bc00d25f1f4df5ff4025c98257,Iridaceae,Iris,https://en.wikipedia.org/wiki/Iris_pseudacorus,16
Sclerophylax kurtzii,Di Fulvio,1961.0,Kurtziana 1: 88 (1961),https://d2seqvvyy3b8p2.cloudfront.net/7876b1929c94c0c357d200ae624c2980.jpg,Solanaceae,Sclerophylax,,17
